"No.","Time","Source","Destination","Protocol","Length","Info"
"302716","176.064897","192.168.1.58","52.32.33.253","TCP","1514","57010  >  80 [ACK] Seq=41955 Ack=28390 Win=502 Len=1448 TSval=175206075 TSecr=1611754680 [TCP segment of a reassembled PDU]"
"302717","176.065033","192.168.1.58","52.32.33.253","TCP","1514","57010  >  80 [ACK] Seq=43403 Ack=28390 Win=502 Len=1448 TSval=175206075 TSecr=1611754680 [TCP segment of a reassembled PDU]"
"302721","176.066535","192.168.1.58","52.32.33.253","TCP","70","57010  >  80 [PSH, ACK] Seq=44851 Ack=28390 Win=502 Len=4 TSval=175206075 TSecr=1611754680 [TCP segment of a reassembled PDU]"
"302724","176.103207","192.168.1.58","23.246.45.154","TLSv1.2","547","Application Data"
"302737","176.136734","192.168.1.58","23.246.45.154","TLSv1.2","547","Application Data"
"302739","176.144323","192.168.1.58","23.246.45.154","TLSv1.2","1028","Application Data, Application Data"
"302754","176.175711","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=1050 Ack=780 Win=67136 Len=0 TSval=175206087 TSecr=3907534203"
"302755","176.175938","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=1050 Ack=2228 Win=70032 Len=0 TSval=175206087 TSecr=3907534255"
"302765","176.178604","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=1050 Ack=6572 Win=78720 Len=0 TSval=175206087 TSecr=3907534255"
"302766","176.178827","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=1050 Ack=10916 Win=87408 Len=0 TSval=175206087 TSecr=3907534255"
"302767","176.179975","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=1050 Ack=13812 Win=93200 Len=0 TSval=175206087 TSecr=3907534255"
"302768","176.180206","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=1050 Ack=5125 Win=75824 Len=0 TSval=175206087 TSecr=1298106236"
"302769","176.183014","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=1050 Ack=13813 Win=93200 Len=0 TSval=175206087 TSecr=1298106259"
"302778","176.188777","192.168.1.58","52.32.33.253","TCP","66","57010  >  80 [ACK] Seq=44855 Ack=31286 Win=498 Len=0 TSval=175206088 TSecr=1611754711"
"302779","176.190129","192.168.1.58","52.32.33.253","TCP","66","57010  >  80 [ACK] Seq=44855 Ack=37914 Win=479 Len=0 TSval=175206088 TSecr=1611754711"
"302780","176.196070","192.168.1.58","23.246.45.154","TCP","66","55144  >  443 [ACK] Seq=1531 Ack=780 Win=67136 Len=0 TSval=175206089 TSecr=3250182573"
"302839","176.226337","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=1050 Ack=15260 Win=96096 Len=0 TSval=175206092 TSecr=3907534279"
"302840","176.230701","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=1050 Ack=23948 Win=113472 Len=0 TSval=175206092 TSecr=3907534279"
"302842","176.242205","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=1050 Ack=34084 Win=133744 Len=0 TSval=175206092 TSecr=3907534279"
"302843","176.242441","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=1050 Ack=38428 Win=142432 Len=0 TSval=175206092 TSecr=3907534279"
"302844","176.242647","192.168.1.58","23.246.45.154","TCP","66","55146  >  443 [ACK] Seq=1050 Ack=41324 Win=148224 Len=0 TSval=175206093 TSecr=3907534279"
"302845","176.242855","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=1050 Ack=25397 Win=116368 Len=0 TSval=175206093 TSecr=1298106285"
"302848","176.251047","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=1050 Ack=35533 Win=136640 Len=0 TSval=175206093 TSecr=1298106285"
"302849","176.251285","192.168.1.58","23.246.45.154","TCP","66","55145  >  443 [ACK] Seq=1050 Ack=41325 Win=148224 Len=0 TSval=175206093 TSecr=1298106285"
